name,value
aA,0.48971473
aW,4.9138734
aE,0.24197346
aN,0.094876416
pWA,0.43628932
pEA,0.24997402
pNA,0.91512685
pAW,0.99258227
pEW,0.083853738
pNW,0.011476783
pAE,6.08e-4
pWE,4.76e-4
pNE,0.066037729
pAN,7.71e-4
pWN,0.10401742
pEN,0.64880756
w1,-0.15487177
w2,-0.019568024
w3,-0.9171713
w4,-4.04e-4
w5,-1.67e-4
b1,0.090598047
b2,-2.14e-4
bN1,0.048772465
bN2,-7.91e-5
bH1,0.035185492
bH2,-2.09e-4
g,-1.8089202
gN,-1.1725473
gH,-12.535951
pH,0.004596472
aH,0.001302583
th1,-0.43892271
th2,1.2674668
r,0.25691424
